-teachers
Allison Tyler:password1
Izabella Hartman:password2
Bianca Bates:password
Kelton Freeman:password
Lillianna Washington:password

-students
Courtney Harrell:password
Gretchen Singh:password
Fiona Newman:password
Brayden Richards:password
Greta Norton:password
Rolando Figueroa:password
Gordon Escobar:password
Peyton Villanueva:password
Denzel Krause:password
Zaiden Pearson:password
Jose Richards:password
Hayden Walker:password
Lizeth Davila:password
Madalyn Vincent:password
Luca Whitney:password
